OBJECTNUMMER;Adres;Postcode;STADSDEEL_CODE;GEBIED22_CODE;Gebouwnaam;Bruto_vloeroppervlak;Leegstand_bvo;Leegstand_perc;Huidige_functie;Toekomstige_functie;Transformatiefase;Transformatiewijze;Startbouw;Aantal_woningen;Website;COORDS;LNG;LAT;
76;"Herengracht 410-412";"1017BX";"A";"DX02";"";3400;3400;100;"Kantoor";"Wonen";"2 - In onderzoek - voorbereiding";"C - Verbouw andere functie";2018;28;"";"POINT(4.8871210 52.3671090)";"4,8871210";"52,3671090";
77;"Herengracht 464 / Nieuwe Spiegelstraat 2B";"1017CA";"A";"DX02";"";1000;1000;100;"Kantoor";"Kantoor - Wonen";"2 - In onderzoek - voorbereiding";"C - Verbouw andere functie";0;7;"";"POINT(4.890253 52.365334)";"4,890253";"52,365334";
78;"Herengracht 472";"1017CA";"A";"DX02";"";1300;0;0;"Kantoor";"Kantoor";"1 - Leegstand zonder transformatie";"X - Leegstand zonder transformatie";0;0;"";"POINT(4.891288 52.365142)";"4,891288";"52,365142";
79;"Herengracht 574";"1017CJ";"A";"DX02";"";0;0;0;"Kantoor";"Wonen";"3 - In uitvoering";"C - Verbouw andere functie";2016;2;"";"POINT(4.898889 52.365091)";"4,898889";"52,365091";
80;"Herengracht 582";"1017CJ";"A";"DX02";"";1900;0;0;"Kantoor";"Kantoor";"4 - Gerealiseerd";"D - Verbouw zelfde functie";0;0;"";"POINT(4.899528 52.365227)";"4,899528";"52,365227";
81;"Keizersgracht 461";"1017DK";"A";"DX02";"";0;0;0;"Wonen";"Wonen";"3 - In uitvoering";"C - Verbouw andere functie";2015;3;"";"POINT(4.886903 52.366023)";"4,886903";"52,366023";
82;"Keizersgracht 790";"1017EC";"A";"DX02";"";445;0;0;"Onderwijs - Wonen";"Wonen";"3 - In uitvoering";"C - Verbouw andere functie";2016;3;"";"POINT(4.899476 52.363763)";"4,899476";"52,363763";
83;"Keizersgracht 604";"1017EP";"A";"DX02";"";1200;1200;100;"Kantoor";"Kantoor - Wonen";"2 - In onderzoek - voorbereiding";"C - Verbouw andere functie";0;1;"";"POINT(4.889858 52.363939)";"4,889858";"52,363939";
887;"Jan Rebelstraat 20";"1069CC";"F";"DX07";"";0;0;0;"Kantoor";"Wonen";"3 - In uitvoering";"C - Verbouw andere functie";2017;41;"";"POINT(4.7859353 52.3617017)";"4,7859353";"52,3617017";
888;"Blasiusstraat 15A";"1091CJ";"M";"DX13";"";0;0;0;"Kantoor";"Wonen";"3 - In uitvoering";"C - Verbouw andere functie";2017;3;"";"POINT(4.9080965 52.3564745)";"4,9080965";"52,3564745";
85;"Prinsengracht 767 / Kerkstraat 126";"1017JZ";"A";"DX02";"";1600;0;0;"Kantoor";"Kantoor - Wonen";"3 - In uitvoering";"C - Verbouw andere functie";2016;10;"";"POINT(4.886662 52.363940)";"4,886662";"52,363940";
87;"Prinsengracht 432";"1017KE";"A";"DX02";"Paleis van Justitie";12624;0;0;"Onbekend";"Hotel";"2 - In onderzoek - voorbereiding";"C - Verbouw andere functie";2018;0;"";"POINT(4.882854 52.365745)";"4,882854";"52,365745";
88;"Leidsegracht 17";"1017NA";"A";"DX02";"";441;0;0;"Kantoor - Wonen";"Wonen";"2 - In onderzoek - voorbereiding";"C - Verbouw andere functie";2017;4;"";"POINT(4.885815 52.367032)";"4,885815";"52,367032";
89;"Eerste Weteringplantsoen 6";"1017SK";"A";"DX02";"";0;0;0;"Kantoor";"Wonen";"3 - In uitvoering";"C - Verbouw andere functie";2016;3;"";"POINT(4.889381 52.359273)";"4,889381";"52,359273";
90;"Utrechtsestraat 79";"1017VJ";"A";"DX02";"";0;0;0;"Hotel";"Hotel - Wonen";"3 - In uitvoering";"C - Verbouw andere functie";2016;3;"";"POINT(4.898670 52.363210)";"4,898670";"52,363210";
91;"Frederiksplein 47";"1017XL";"A";"DX02";"";1153;0;0;"Kantoor";"Wonen";"3 - In uitvoering";"C - Verbouw andere functie";2015;8;"";"POINT(4.901191 52.360438)";"4,901191";"52,360438";
92;"Tweede Weteringplantsoen 1-7 / Weteringschans 66";"1017ZD";"A";"DX02";"";1700;1400;82;"Kantoor";"Kantoor";"1 - Leegstand zonder transformatie";"X - Leegstand zonder transformatie";0;0;"";"POINT(4.893114 52.35938)";"4,893114";"52,35938";
93;"Huidekoperstraat 26-28 / Pieter Pauwstraat 7-15";"1017ZM";"A";"DX02";"";3400;3400;100;"Kantoor";"Religie";"2 - In onderzoek - voorbereiding";"C - Verbouw andere functie";0;0;"";"POINT(4.897710 52.358786)";"4,897710";"52,358786";
94;"Nicolaas Witsenkade 27";"";"A";"DX02";"";593;0;0;"Maatschappelijk - Onbekend - Wonen";"Wonen";"3 - In uitvoering";"D - Verbouw zelfde functie";2015;5;"";"POINT(4.895841 52.358322)";"4,895841";"52,358322";
95;"Nieuwe Vaart 5-9";"1018AA";"A";"DX02";"";6800;0;0;"Kantoor";"Kantoor";"3 - In uitvoering";"D - Verbouw zelfde functie";2016;0;"";"POINT(4.914165 52.370380)";"4,914165";"52,370380";
96;"Zeeburgerpad 20";"1018AJ";"A";"DX02";"";812;0;0;"Bedrijf";"Wonen";"2 - In onderzoek - voorbereiding";"C - Verbouw andere functie";0;0;"";"POINT(4.930788 52.366908)";"4,930788";"52,366908";
97;"Zeeburgerpad 22";"1018AJ";"A";"DX02";"";748;0;0;"Kantoor";"Wonen";"2 - In onderzoek - voorbereiding";"C - Verbouw andere functie";0;0;"";"POINT(4.931111 52.366909)";"4,931111";"52,366909";
859;"Weesperplein 8";"";"A";"X";"";3000;1500;50;"Kantoor";"Onderwijs";"3 - In uitvoering";"C - Verbouw andere functie";0;0;"";"POINT(4.907246 52.361482)";"4,907246";"52,361482";
860;"Orlyplein 10 / Hanedastraat 2-50";"";"F";"DX06";"Cristal Tower";24700;17100;69;"Kantoor";"Kantoor";"1 - Leegstand zonder transformatie";"X - Leegstand zonder transformatie";0;0;"";"POINT(4.837044 52.391058)";"4,837044";"52,391058";
104;"Amstel 91-93";"";"A";"DX02";"";0;0;0;"Onbekend - Wonen";"Wonen";"3 - In uitvoering";"D - Verbouw zelfde functie";2016;0;"";"POINT(4.903375 52.363416)";"4,903375";"52,363416";
105;"Sarphatistraat 28";"1018GL";"A";"DX02";"";392;0;0;"Bedrijf - Wonen";"Wonen";"3 - In uitvoering";"C - Verbouw andere functie";2015;4;"";"POINT(4.906342 52.360621)";"4,906342";"52,360621";
107;"Kattenburgerstraat 5";"1018JA";"A";"DX02";"";1844;0;0;"Kantoor - Bedrijf";"Onbekend";"9 - Fase nader te bepalen";"C - Verbouw andere functie";0;0;"";"POINT(4.916279 52.371796)";"4,916279";"52,371796";
108;"Plantage Muidergracht 153";"1018TT";"A";"DX02";"";248;0;0;"Commercieel - Wonen";"Wonen";"2 - In onderzoek - voorbereiding";"C - Verbouw andere functie";2017;3;"";"POINT(4.917312 52.363892)";"4,917312";"52,363892";
110;"Weesperplein 4";"1018XA";"A";"DX02";"Diamantbeurs";6891;0;0;"Onderwijs";"Commercieel";"2 - In onderzoek - voorbereiding";"C - Verbouw andere functie";2017;0;"";"POINT(4.906983 52.361907)";"4,906983";"52,361907";
848;"Van Diemenstraat 20-200";"";"E";"";"Y-tech";12075;1742;14;"Kantoor";"Kantoor";"1 - Leegstand zonder transformatie";"X - Leegstand zonder transformatie";0;0;"";"POINT(4.888900 52.390176)";"4,888900";"52,390176";
112;"Zeeburgerpad 55";"1019AC";"M";"DX14";"Boven Brouwerij `t IJ";0;0;0;"Bedrijf";"Wonen";"2 - In onderzoek - voorbereiding";"E - Transformatiewijze nader te bepalen";0;60;"";"POINT(4.939910 52.366999)";"4,939910";"52,366999";
113;"Cruquiusweg 102";"1019AJ";"M";"DX14";"";4239;0;0;"Bedrijf";"Bedrijf";"2 - In onderzoek - voorbereiding";"E - Transformatiewijze nader te bepalen";0;0;"";"POINT(4.953393 52.367965)";"4,953393";"52,367965";
114;"Cruquiusweg 20";"";"M";"DX14";"";1000;0;0;"Bedrijf";"Broedplaats";"4 - Gerealiseerd";"A - Tijdelijke functie";0;0;"";"POINT(4.935109 52.368436)";"4,935109";"52,368436";
115;"Cruquiusweg 71";"1019AT";"M";"DX14";"";5624;0;0;"Bedrijf";"Onbekend";"9 - Fase nader te bepalen";"C - Verbouw andere functie";0;202;"";"POINT(4.952102 52.368875)";"4,952102";"52,368875";
849;"Burgemeester Roellstraat 70";"";"F";"";"";1306;1306;100;"Kantoor";"Kantoor";"1 - Leegstand zonder transformatie";"X - Leegstand zonder transformatie";0;0;"";"POINT(4.818438 52.376234)";"4,818438";"52,376234";
120;"Piet Heinkade 97";"1019GM";"M";"DX14";"";31900;0;0;"Kantoor";"Kantoor";"4 - Gerealiseerd";"D - Verbouw zelfde functie";0;0;"";"POINT(4.918234 52.377179)";"4,918234";"52,377179";
123;"Motorkade 1";"1021JR";"N";"DX18";"leeg kavel gesloopt";0;0;0;"Onbekend";"Hotel";"2 - In onderzoek - voorbereiding";"B - Sloop - Nieuwbouw";2017;0;"";"POINT(4.919741 52.384166)";"4,919741";"52,384166";
124;"Boorstraat 2";"1021JZ";"N";"DX18";"";2200;2200;100;"Kantoor";"Kantoor";"1 - Leegstand zonder transformatie";"X - Leegstand zonder transformatie";0;0;"";"POINT(4.922379 52.382417)";"4,922379";"52,382417";
125;"Aambeeldstraat 9";"1021KB";"N";"DX18";"";7920;0;0;"Bedrijf";"Onbekend";"9 - Fase nader te bepalen";"E - Transformatiewijze nader te bepalen";0;0;"";"POINT(4.927190 52.384494)";"4,927190";"52,384494";
126;"Beitelkade 15 / Hamerstraat 20";"1021KG";"N";"DX18";"";0;0;0;"Bedrijf - Maatschappelijk - Wonen";"Wonen";"4 - Gerealiseerd";"C - Verbouw andere functie";2015;13;"";"POINT(4.923028 52.384936)";"4,923028";"52,384936";
131;"Hilversumstraat 316-340";"1024KG";"N";"DX19";"Noordkaap";6300;0;0;"Kantoor";"Wonen";"2 - In onderzoek - voorbereiding";"C - Verbouw andere functie";2017;71;"";"POINT(4.9637380 52.3911890)";"4,9637380";"52,3911890";
134;"Kampina 7";"";"N";"DX19";"";426;0;0;"Wonen";"Wonen";"3 - In uitvoering";"C - Verbouw andere functie";2015;8;"";"POINT(4.940531 52.403059)";"4,940531";"52,403059";
136;"Amerbos 590";"1025ZZ";"N";"DX19";"Korthagenhuis";0;0;0;"Maatschappelijk";"Wonen";"2 - In onderzoek - voorbereiding";"C - Verbouw andere functie";2017;30;"";"POINT(4.939876 52.404843)";"4,939876";"52,404843";
137;"G.J. Scheurleerweg 12";"1027AB";"N";"DX19";"";35830;0;0;"Bedrijf";"Onbekend";"9 - Fase nader te bepalen";"E - Transformatiewijze nader te bepalen";0;0;"";"POINT(4.935086 52.409554)";"4,935086";"52,409554";
138;"Durgerdammergouw 2";"1028BT";"N";"DX19";"Elders Rust";105;0;0;"Bedrijf";"Wonen";"3 - In uitvoering";"C - Verbouw andere functie";2016;2;"";"POINT(4.995680 52.390570)";"4,995680";"52,390570";
140;"Hagedoornplein 2";"1031BV";"N";"DX18";"Sint Ritakerk";2600;2600;100;"Kantoor";"Kantoor";"1 - Leegstand zonder transformatie";"X - Leegstand zonder transformatie";0;0;"";"POINT(4.913947 52.38809)";"4,913947";"52,38809";
141;"Overhoeksplein 1";"";"N";"DX18";"";11600;0;0;"Kantoor";"Kantoor";"2 - In onderzoek - voorbereiding";"D - Verbouw zelfde functie";2016;0;"";"POINT(4.902272 52.383801)";"4,902272";"52,383801";
142;"Badhuiskade 3";"1031KV";"N";"DX18";"ClinkNOORD";0;0;0;"Bedrijf - Kantoor";"Hotel";"4 - Gerealiseerd";"C - Verbouw andere functie";2015;0;"";"POINT(4.903663 52.384184)";"4,903663";"52,384184";
847;"Van Diemenstraat 206-380";"";"E";"";"Y-point";7950;1582;20;"Kantoor";"Kantoor";"1 - Leegstand zonder transformatie";"X - Leegstand zonder transformatie";0;0;"";"POINT(4.888041 52.390314)";"4,888041";"52,390314";
146;"Strekkerweg 79";"1033DA";"N";"DX17";"";1400;0;0;"Kantoor";"Wonen";"3 - In uitvoering";"C - Verbouw andere functie";2017;15;"";"POINT(4.894288 52.404777)";"4,894288";"52,404777";
147;"Toetsenbordweg 26";"1033MZ";"N";"DX18";"";2300;0;0;"Kantoor";"Kantoor";"4 - Gerealiseerd";"D - Verbouw zelfde functie";0;0;"";"POINT(4.872366 52.413019)";"4,872366";"52,413019";
148;"tt. Vasumweg 58";"1033SC";"N";"DX18";"The curve";4800;3800;79;"Kantoor";"Hotel";"9 - Fase nader te bepalen";"E - Transformatiewijze nader te bepalen";0;0;"";"POINT(4.892149 52.405159)";"4,892149";"52,405159";
